time,invT,err
sec,invK,invK
10,0.120269368630846,0.0340729414799674
20,0.108453906499286,0.0339570208724311
30,0.0960980974369054,0.0338482503314991
40,0.237528441840379,0.0358244917223064
50,0.169879065814095,0.0346838427290695
60,0.233412947644223,0.0357454679657917
70,0.350075156115012,0.038423640548828
130,0.175392301386362,0.0347638278397467
190,0.252003807158186,0.036111941188915
250,0.242748656058701,0.0359264569592621
310,0.274089256938852,0.0365783768784672
370,0.270040187105203,0.0364903885193393
430,0.229189101398327,0.0356656226236625
490,0.228036800719181,0.0356440626746889
550,0.269076795856225,0.0364696154647771
610,0.178036845455036,0.0348030336535474
670,0.178874642444161,0.0348155671932429
730,0.203467734256484,0.0352074214855145
790,0.130748897061644,0.0341853996797376
850,0.22985664435166,0.0356781563057986
910,0.21786301276874,0.0354578804906811
970,0.245848938517285,0.0359879231661645
1030,0.289230752719281,0.0369170363173388
1090,0.214634121207436,0.035400370155213
1150,0.277821279204492,0.036660444349082
1210,0.179891738542252,0.0348308560361473
1270,0.304120683397636,0.0372645787296287
1330,0.240049747359419,0.0358734992228506
1390,0.242096659262771,0.0359136164730286
1450,0.267891047313154,0.0364441336149177
1510,0.245976134424485,0.0359904593532243
1570,0.269722197328524,0.0364835249877674
1630,0.216984889938708,0.0354421643550186
1690,0.210471517510927,0.0353273619217583
1750,0.167143317591961,0.0346450348034083
1810,0.245781571796072,0.0359865803853637
1870,0.275691925422977,0.0366135062299744
1930,0.304737819139357,0.0372792877773744
1990,0.154997616887099,0.034479863832619
