time,invT,err
sec,invK,invK
10,0.0545615436083117,0.0366554005862685
20,0.130006740006057,0.0375133873537588
30,0.177732116067807,0.0383975665192456
40,0.230204329983723,0.0396509108495795
50,0.261901852915884,0.0405398512616377
60,0.185935153021658,0.0385746824776946
70,0.218205911230588,0.0393396408327159
130,0.179827306277763,0.0384421217893398
190,0.186440073832808,0.0385858182923209
250,0.343418580313763,0.0432316852161546
310,0.123017963536361,0.0374055210722485
370,0.27139826869189,0.0408243046243114
430,0.0547346446270871,0.0366565799365854
490,0.193851571704755,0.0387523671909749
550,0.248736414275713,0.0401591420405478
610,0.405779140170065,0.0456342955856284
670,0.232683219033893,0.0397169802900464
730,0.272636685966974,0.0408619973329593
790,0.19803727794267,0.0388489668123596
850,0.192686093243618,0.0387257948555797
910,0.161567459166951,0.0380697832547631
970,0.341528850910956,0.0431632182169742
1030,0.111422044153107,0.0372390834210588
1090,0.293725222124243,0.0415245144410578
1150,0.339684322977721,0.043096649214317
1210,0.281898362462039,0.0411481933254577
1270,0.185074270743923,0.0385557583497978
1330,0.323693791556937,0.0425305075653639
1390,0.225236792496411,0.0395203181504773
1450,0.199975341760905,0.038894310310896
1510,0.23204731670339,0.0396999747168902
1570,0.3216355840286,0.0424590879580912
1630,0.271046930070841,0.0408136361454808
1690,0.230216144001146,0.0396512243082149
1750,0.36737689787283,0.0441225859923286
1810,0.246916541905835,0.0401077856097002
1870,0.165859542813722,0.038154040054291
1930,0.30293964279295,0.0418259560122906
1990,0.276701735467772,0.0409866802391194
