time,invT,err
sec,invK,invK
10,0.239946785182905,0.0399139965232633
20,0.550494747890318,0.0521048443021242
30,0.932809620023607,0.0728455691070112
40,1.00342727516716,0.077015149375703
50,0.856902893059167,0.0684517864904131
60,0.970458909046787,0.0750595917048956
70,0.953135930936737,0.0740382448598627
130,0.716602015954933,0.0606363713230072
190,0.490523684682199,0.0492910552241138
250,0.371802532346551,0.0442916750677904
310,0.402979731010847,0.0455207900997458
370,0.366967516412562,0.0441070146476149
430,0.1828571393245,0.0385073829490491
490,0.362270673178857,0.0439292167991833
550,0.283238996830098,0.0411902441434177
610,0.206636392804094,0.0390531042415981
670,0.237805366092575,0.039855385276629
730,0.382619037908356,0.0447106731522755
790,0.36730550010245,0.0441198694331789
850,0.203220960450146,0.038971114043849
910,0.213933346206536,0.0392322522521382
970,0.270013973979693,0.0407823341456403
1030,0.176635313015661,0.0383744302885218
1090,0.267024513792673,0.040692283124271
1150,0.21641737174617,0.039294464238639
1210,0.178840065388992,0.0384210690028262
1270,0.23938125329986,0.0398984750825671
1330,0.262824887265935,0.040567141389139
1390,0.15150551252608,0.0378802380877082
1450,0.122891759021665,0.0374036252004312
1510,0.311281367159715,0.0421049349030117
1570,0.209327420453943,0.0391185433509472
1630,0.10610399037515,0.0371680336660946
1690,0.259661298754744,0.040473931406425
1750,0.275519820011908,0.040950277614519
1810,0.31224908937688,0.0421376681632866
1870,0.284721912933519,0.0412369398882604
1930,0.251270264239613,0.0402311641527511
1990,0.349668710108786,0.0434600409191101
