time,invT,err
sec,invK,invK
10,0.153346698836848,0.0329697949845335
20,5.69082487828556E-9,0.0325148593750501
30,0.0438025493462803,0.0325461657425261
40,0.153924338649968,0.0329732540469412
50,0.125961324830561,0.0328203815211828
60,0.181720187271224,0.0331545649656126
70,0.210634320855841,0.0333737097644795
130,0.276888458898949,0.0339899228404959
190,0.128484652923408,0.0328329493790874
250,0.19781736466102,0.0332727619285877
310,0.334993099344921,0.0346555250447279
370,0.325037326943716,0.0345334715770897
430,0.322599206654845,0.034504078208634
490,0.293594504176891,0.0341696186912163
550,0.308701234373642,0.0343402957578862
610,0.249772442640316,0.0337188660077128
670,0.257595030699326,0.0337944156358957
730,0.279267972583869,0.0340149316866971
790,0.298950584940018,0.0342292491230552
850,0.212606336384878,0.0333897757464924
910,0.210309238194101,0.03337107495687
970,0.261514795218978,0.0338330829810199
1030,0.274405468197591,0.033964035230835
1090,0.255585470318695,0.0337748014277683
1150,0.213920402922388,0.0334005602102366
1210,0.262686008590155,0.0338447412953661
1270,0.242198016350541,0.033647778655331
1330,0.309575294755981,0.0343504063024675
1390,0.254050713795024,0.0337599173780576
1450,0.205617059166204,0.0333334752837748
1510,0.223161449981777,0.0334781749951421
1570,0.139369656035031,0.03288996043914
1630,0.258071666005589,0.0337990886682443
1690,0.200010070084695,0.0332896039751688
1750,0.264929536944397,0.0338672076325193
1810,0.227377909523474,0.0335146169054182
1870,0.335569090964557,0.034662685755026
1930,0.236699998442672,0.0335974591739813
1990,0.307058879954533,0.0343213674221709
2050,0.291607836855967,0.0341477487085528
2110,0.253545690989633,0.0337550378478542
2170,0.267287073174416,0.0338910052396975
2230,0.217885953553008,0.0334334865405194
2290,0.173880750411014,0.0331004923517091
2350,0.289903213113581,0.0341290908645074
2410,0.184726606599333,0.0331759099577463
2470,0.185576857992992,0.0331820075867974
2530,0.265272476279063,0.0338706572870692
2590,0.343476842415853,0.0347620856467958
2650,0.25050502331605,0.033725849408216
2710,0.272389497696345,0.0339431739383358
2770,0.188872555107696,0.0332058967041577
2830,0.278628338059838,0.0340081898655512
2890,0.231616346502863,0.0335518951786558
2950,0.293235997490115,0.0341656621717049
3010,0.297223525896888,0.0342099150238447
3070,0.199359446904667,0.0332845880952252
3130,0.243122441583209,0.0336563452301052
3190,0.251557192312612,0.0337359125555977
3250,0.20294680272603,0.0333124380816338
3310,0.312061032747934,0.0343792994964612
3370,0.231291263834466,0.0335490130838647
3430,0.288084581502115,0.0341092946099562
3490,0.199619513031474,0.0332865911652241
3550,0.337578193692548,0.0346877474984808
3610,0.257041932284697,0.0337890029641371
3670,0.296964375468168,0.0342070226098774
3730,0.182649740515841,0.0331611286714295
3790,0.243275825661031,0.0336577695733285
