time,invT,err
sec,invK,invK
0,-0.00360354397975747,0.00562255549575297
0.04,0.0664079816290971,0.00587604284416767
0.09,0.105321734006328,0.00624161331325015
0.16,0.16411953622512,0.007032751461168
0.25,0.250375315242478,0.00855333544737607
0.37,0.346107251078892,0.0105362210571774
0.53,0.484707288727141,0.0136873478249516
0.76,0.660656216743371,0.0179145161097558
1.07,0.858472427054084,0.0228062814173004
1.48,1.07289291545529,0.0281891659959981
2.04,1.29794920199908,0.0338865433766588
2.81,1.5308530267043,0.0398118129180285
3.86,1.71977635496694,0.0446319027302007
5.26,1.85392076574471,0.0480596191068397
7.16,1.92380650431995,0.0498467351341071
9.76,1.90581143742108,0.0493864852939328
19.76,1.5537580557621,0.040395652146824
29.76,1.21495644622847,0.0317815013723376
39.76,0.940239499196378,0.0248518878901304
49.76,0.754719902046868,0.0202282298568122
59.76,0.612159852744332,0.0167335816219842
69.76,0.513458534537287,0.014365484545834
79.76,0.442772773840037,0.0127106954705998
89.76,0.372522822230245,0.0111173516020605
99.76,0.336831710913699,0.0103350289892573
109.76,0.323697346029972,0.0100529536178053
119.76,0.286912488432231,0.0092829232675742
129.76,0.272272560433786,0.00898587726324631
139.76,0.262685581659866,0.00879467378470325
149.76,0.253585222566992,0.00861579235073289
159.76,0.251783080994246,0.00858068508083315
169.76,0.245515302711485,0.00845943058888361
179.76,0.239662015002251,0.00834742136994755
189.76,0.23850640210544,0.00832545174458236
199.76,0.241660746758499,0.00838553304988858
209.76,0.224749809690424,0.00806775548482203
219.76,0.240249966768758,0.00835861754347977
229.76,0.237787890030079,0.00831181636369966
239.76,0.225093051682794,0.00807409634092721
249.76,0.222072432192315,0.00801845733646526
259.76,0.227151313052589,0.0081122174672162
269.76,0.242015957409633,0.00839232109200821
279.76,0.225740777529719,0.00808607482249117
289.76,0.219943687287483,0.00797946869535145
299.76,0.226221128243015,0.00809496875312037
309.76,0.226840888371428,0.0081064573774597
319.76,0.220867486849816,0.0079963655886508
329.76,0.226572013555587,0.00810147132932093
339.76,0.238902028198317,0.0083329676456132
349.76,0.225399732749002,0.00807976575837012
