time,invT,err
sec,invK,invK
0,17.002352816699,0.417167775971975
10,15.2090003291651,0.373532722556116
20,13.5982587086269,0.334236520935712
30,12.1895195880962,0.299797473851324
40,10.9272944979448,0.26889088962561
50,9.82571633212939,0.241884474457023
60,8.82892254004785,0.217423549656669
70,7.92257482856438,0.195165440842442
80,7.14448042438285,0.17604619007827
90,6.42564437891985,0.158375717476095
100,5.79579372373715,0.142888165164277
110,5.2314803477295,0.12900960984384
120,4.72916240227955,0.116654705431242
130,4.26841085297121,0.105322223871771
140,3.84122273376131,0.094816296614771
150,3.47750527398311,0.08587304356154
160,3.15543432340608,0.0779560501618426
170,2.86292488900907,0.0707684786691998
180,2.60041906092943,0.0643213689281931
190,2.36976746948575,0.0586600853726819
200,2.16184547251321,0.0535605044364873
210,1.9680363595702,0.0488114367695273
220,1.79042322819031,0.04446419093542
230,1.63688767578502,0.0407113405780143
240,1.50588736362277,0.0375141869506265
250,1.36670866563575,0.0341238648696879
260,1.26136622583746,0.03156347547975
270,1.15471527889088,0.02897777165933
280,1.08039200177622,0.0271806908309775
290,0.99146645945748,0.025037148522636
300,0.926639449635909,0.0234801044330876
310,0.858016148913264,0.0218382926367952
320,0.801097103531787,0.0204826244544125
330,0.745141166803685,0.0191565267244415
340,0.710513184110992,0.0183398017099285
350,0.658416266104339,0.0171178211963312
360,0.61979462697818,0.0162181101354415
370,0.589695157381415,0.0155212485898594
380,0.550506344596347,0.0146205932470043
390,0.535626305441068,0.0142808483331133
400,0.494967244676619,0.0133597990567926
410,0.465546162303744,0.012700986542747
420,0.4408636472867,0.0121541135920869
430,0.432914202363092,0.0119792463760321
440,0.42255701775689,0.01175241267132
450,0.417177460749833,0.01163505973572
460,0.380670775607355,0.010847964724117
470,0.389851481920128,0.0110442828658326
480,0.374875875759258,0.010724655952759
490,0.367255989675047,0.0105632624094568
500,0.355078639633047,0.01030719802005
510,0.326132819996826,0.00970867105341153
520,0.323740201592455,0.00965989629635078
530,0.309399341368436,0.00937000924374547
540,0.311167715527284,0.00940552013761768
550,0.322718366505516,0.00963910040830725
560,0.306022056980163,0.00930238050584438
570,0.310770471813915,0.0093975371272281
580,0.302504431495699,0.00923221283786575
590,0.310141655660114,0.00938490743894083
600,0.286607950419223,0.00891874662576128
610,0.289652078694969,0.00897829794737119
620,0.295012365467444,0.00908371714804917
630,0.278373614770201,0.00875885308773948
640,0.28367796222783,0.00886165027037336
650,0.273660076390481,0.00866813754629005
660,0.270333695457315,0.00860448744646592
670,0.283383170927449,0.00885591793250213
680,0.288052381743408,0.00894697454435808
690,0.28070454614699,0.00880393475518368
700,0.264910582068419,0.00850139022932212
710,0.285412929011714,0.00889543282639547
720,0.264881027213169,0.00850083070382241
730,0.269418514625716,0.00858703008177738
740,0.284708128774728,0.00888169991132646
750,0.249577132365826,0.00821466035906158
760,0.260421771821585,0.00841670540741335
770,0.247261102158534,0.00817199644190178
780,0.264526194076146,0.00849411508747768
790,0.255594627788393,0.00832631723163097
800,0.26351004927445,0.0084749038988564
810,0.25360090122373,0.00828919550216889
820,0.267817247128578,0.00855654277661274
830,0.266276255479468,0.00852727267000074
840,0.262703236845156,0.0084596720818123
850,0.251888499592838,0.0082574120902753
860,0.257526126360532,0.00836239858321357
870,0.256972949656366,0.00835205316430846
880,0.26933194859074,0.00858538003790338
890,0.276171367228904,0.00871639396333088
900,0.238746348609072,0.00801668788553761
910,0.280081444868607,0.00879186945658204
920,0.260492277900086,0.00841803090213594
930,0.25070324652843,0.00823546778885053
940,0.267873092413918,0.00855760480625877
950,0.257871282523381,0.00836885841221104
960,0.245585630470708,0.0081412425091427
970,0.268912496813794,0.0085773878473198
980,0.269513941292758,0.00858884926597096
990,0.254975929243497,0.00831478417149053
1000,0.251483068122738,0.00824990067852447
