time,invT,invT,err
sec,invK,invK,invK
0,0.0370794109462878,0.0393758868938495,0.00305957822585089
0.04,0.135214345446502,0.135877778468146,0.00441793435202268
0.09,0.277375828131958,0.294960309118176,0.00778978753513716
0.16,0.402294502655493,0.41954382811022,0.0106836747919991
0.25,0.488960852692925,0.519591851041136,0.0130602244484693
0.37,0.57695944692292,0.599582909718712,0.0149777960782483
0.53,0.648201064833413,0.665178512022534,0.0165577354830259
0.76,0.696309170661523,0.722034524932509,0.0179311312210037
1.07,0.754166591293991,0.755248981303215,0.0187348081512553
1.48,0.797068327195489,0.783340266125788,0.0194151886515936
2.04,0.830165140483812,0.798673465172506,0.0197867975483844
2.81,0.861274282533484,0.812930580529826,0.0201324646261723
3.86,0.893023851035156,0.814127293332333,0.0201614850179931
5.26,0.920470910775987,0.810573320702666,0.0200753034605026
7.16,0.949815309982239,0.802190009136209,0.0198720449321615
9.76,0.970290606159067,0.779351000126007,0.0193185327174652
19.76,1.02263441324408,0.708932013694988,0.0176143540969099
29.76,1.03576857240743,0.631556567546755,0.0157472193449808
39.76,1.03312104841979,0.570379151964574,0.014276370451494
49.76,1.02011387268879,0.519855436403541,0.0130665223987234
59.76,0.99820985742157,0.482505481166527,0.0121757918447786
69.76,0.976151239190469,0.439338214189957,0.0111512874308346
79.76,0.937262020313495,0.410953852760042,0.0104812437105924
89.76,0.919009338932235,0.380753361308036,0.00977224973652508
99.76,0.884908237070491,0.370122758530203,0.00952380953852085
109.76,0.85543575022686,0.34571440132555,0.00895597670676105
119.76,0.820262276292726,0.332441755209231,0.00864891987954175
129.76,0.801021124258799,0.316624829959905,0.00828481728550221
139.76,0.772575101345132,0.306639159654715,0.00805607898888392
149.76,0.746118739414417,0.300289914142475,0.00791113623187516
159.76,0.724119383940935,0.288130570165641,0.00763472938154937
169.76,0.694655478458193,0.278753314549308,0.00742270547816058
179.76,0.669520391576099,0.274955077720975,0.00733713032724397
189.76,0.644181944224228,0.272457263715679,0.00728095439259846
199.76,0.629687440488459,0.261191662860352,0.00702863594724905
209.76,0.614904630114098,0.263303521880677,0.00707580063387979
219.76,0.59030072049825,0.259949847456719,0.00700093244405292
229.76,0.572064145241241,0.252578324806978,0.00683695981770368
